State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Radio_Transistor,Households_with_Scooter_Motorcycle_Moped,Households_with_Telephone_Mobile_Phone_Landline_only,Households_with_Telephone_Mobile_Phone_Mobile_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both,Condition_of_occupied_census_houses_Dilapidated_Households,Households_with_separate_kitchen_Cooking_inside_house,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Ownership_Owned_Households,Ownership_Rented_Households,Type_of_bathing_facility_Enclosure_without_roof_Households,Type_of_fuel_used_for_cooking_Any_other_Households,Type_of_latrine_facility_Pit_latrine_Households,Type_of_latrine_facility_Other_latrine_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Not_having_bathing_facility_within_the_premises_Total_Households,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Location_of_drinking_water_source_Away_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Rs_45000_150000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Above_Rs_545000,Total_Power_Parity
Gujarat,60439692,52.1,47.9,67.99,38.84,29.15,6.74,3.49,3.25,14.75,7.45,7.31,40.98,29.78,11.2,33.7,7.28,59.02,9.01,11.32,0.57,20.08,88.57,9.67,0.52,0.1,0.05,0.96,0.03,0.1,7.72,18.22,0.63,1.78,15.38,13.62,28.99,11.03,24.04,9.8,12.15,5.78,5.6,1.03,69.42,23.48,92.9,56.87,26.95,15.78,0.4,7.02,1.23,3.91,6.88,0.67,11.81,1.27,10.84,13.9,1.42,0.31,17.25,13.59,11.56,16.91,2.73,2.21,0.01,0.9,0.05,0.04,0.17,6.56,8.14,0.97,4.28,0.02,0.07,0.4,0.54,4.74,12.91,0.04,13.91,1.94,0.74,1.85,2.58,2.44,10.89,4.46,3.99,5.43,1.25,2.5,13.29,3.66,0.81,0.95,0.11,0.02,2.25,0.01,0.05,0.06,0.11,0.02,0.02,0.04,0.01,0.02,0.04,0.02,0.22
Haryana,25351462,53.23,46.77,65.48,38.63,26.84,20.17,10.69,9.48,0.0,0.0,0.0,35.17,26.85,8.32,27.67,7.5,64.83,9.79,6.03,1.03,18.32,87.46,7.03,0.2,4.91,0.03,0.21,0.01,0.17,8.19,16.84,0.98,2.46,17.53,10.43,27.96,10.0,13.86,11.84,12.69,8.43,7.36,1.27,65.45,27.75,93.2,59.19,25.26,15.42,0.12,8.33,1.96,3.24,6.2,0.83,12.45,1.65,12.64,14.77,1.48,0.83,16.91,15.35,12.77,16.44,1.78,2.67,0.01,3.24,0.15,0.13,0.57,3.26,5.55,0.43,4.65,0.01,0.06,0.36,0.6,3.98,12.38,0.17,12.8,2.41,0.42,1.15,1.57,1.96,10.35,4.32,4.06,5.29,1.41,2.25,12.2,3.42,0.95,1.15,0.16,0.04,1.84,0.01,0.04,0.05,0.09,0.03,0.02,0.05,0.02,0.03,0.05,0.02,0.22
Himachal Pradesh,6864602,50.72,49.28,73.42,40.1,33.32,25.19,12.77,12.43,5.71,2.86,2.86,51.85,29.77,22.09,30.05,21.81,48.15,30.04,2.55,0.86,18.41,95.17,2.18,0.18,1.16,1.15,0.03,0.01,0.12,8.3,20.81,0.6,1.8,38.06,4.68,42.74,9.45,16.27,14.31,17.0,11.31,6.2,0.95,75.49,20.1,95.59,53.15,27.75,18.95,0.15,2.03,1.78,5.52,3.34,1.6,13.22,0.89,16.0,17.7,2.88,0.35,18.86,16.1,14.87,18.76,2.22,1.58,0.0,1.75,0.06,0.04,0.37,5.41,6.38,0.29,0.91,0.15,0.07,0.4,0.73,7.52,11.95,0.1,19.25,0.14,1.23,1.92,3.15,2.83,12.49,5.42,4.25,4.89,0.98,2.04,13.76,3.52,0.67,0.78,0.09,0.01,3.45,0.03,0.07,0.05,0.12,0.02,0.01,0.03,0.01,0.02,0.03,0.02,0.24
Jammu and Kashmir,12541302,52.95,47.05,56.35,34.01,22.35,7.38,3.88,3.5,11.91,6.19,5.72,34.47,25.48,8.99,21.08,13.38,65.53,9.93,4.37,1.38,18.79,28.44,68.31,0.28,1.87,0.9,0.02,0.01,0.16,5.07,13.68,0.46,1.34,21.24,7.5,28.73,8.82,12.17,14.13,11.62,6.89,4.91,1.07,59.6,32.87,92.47,61.6,24.48,13.8,0.12,1.66,1.2,7.58,2.08,0.58,9.53,0.61,8.2,11.16,1.06,0.62,14.2,9.72,8.22,15.54,0.35,1.29,0.03,0.88,2.04,0.51,0.85,6.35,7.4,0.75,2.06,1.0,1.08,0.5,2.69,4.61,7.74,0.11,10.27,0.23,0.26,0.89,1.16,1.59,7.79,2.95,3.25,5.48,1.64,3.72,11.81,2.17,0.42,0.5,0.07,0.01,1.59,0.03,0.05,0.02,0.08,0.01,0.02,0.03,0.01,0.01,0.02,0.01,0.16
Jharkhand,32988134,51.32,48.68,55.56,32.99,22.57,12.08,6.19,5.89,26.21,13.08,13.12,39.71,25.54,14.17,20.67,19.04,60.29,11.56,13.45,1.38,13.31,67.83,14.53,4.3,0.22,0.03,0.05,12.84,0.21,2.19,8.58,0.28,1.29,17.42,6.21,23.63,14.49,18.0,13.68,8.46,4.96,3.5,0.46,63.55,35.34,98.89,62.38,23.54,13.73,0.35,11.02,0.52,3.27,3.01,0.37,8.26,0.54,5.02,9.0,0.36,0.83,17.6,4.77,4.13,16.73,1.44,1.68,0.12,0.26,0.05,0.03,0.18,13.97,14.43,6.48,8.86,0.15,0.3,0.14,0.63,8.42,4.34,0.03,2.41,0.65,0.5,1.51,2.02,2.11,9.19,3.43,3.66,5.98,1.55,5.97,12.82,2.98,0.7,0.92,0.17,0.05,2.03,0.02,0.04,0.03,0.07,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.12
Karnataka,61095297,50.69,49.31,66.53,36.84,29.69,17.15,8.62,8.53,6.95,3.49,3.46,45.62,29.9,15.72,38.3,7.33,54.38,10.77,11.71,1.49,21.64,84.0,12.92,1.87,0.05,0.16,0.72,0.02,0.27,7.01,19.55,1.05,2.77,17.38,12.08,29.46,9.83,20.34,12.64,13.8,7.7,7.13,1.3,72.73,25.45,98.18,55.12,27.4,17.4,0.08,7.31,1.36,4.82,5.52,1.51,12.2,1.5,12.95,15.44,1.74,0.85,20.57,18.61,11.05,16.02,4.97,2.48,0.02,2.93,0.16,0.1,0.25,2.96,9.7,1.72,4.63,0.07,0.18,0.3,0.75,8.05,9.59,0.2,14.25,3.44,0.86,2.08,2.94,3.32,13.05,5.65,4.08,4.47,1.12,3.93,15.11,2.74,0.6,0.75,0.12,0.03,2.97,0.02,0.04,0.04,0.08,0.02,0.01,0.03,0.01,0.02,0.03,0.01,0.17
Kerala,33406061,47.98,52.02,84.22,41.03,43.2,9.1,4.42,4.68,1.45,0.71,0.74,34.78,25.3,9.48,27.93,6.85,65.22,2.01,3.96,0.82,28.0,54.73,26.56,18.38,0.01,0.01,0.01,0.02,0.26,8.28,21.81,1.45,3.64,17.54,16.05,33.58,7.5,16.18,19.21,22.7,11.4,8.96,2.05,88.0,10.88,98.88,47.03,29.32,23.54,0.1,4.72,2.36,6.85,5.56,2.67,10.8,1.99,17.75,20.71,7.24,1.22,22.22,19.81,21.99,20.94,1.69,1.05,0.01,6.54,0.05,0.04,1.02,3.29,0.87,10.95,0.97,0.32,0.05,0.49,1.02,3.25,17.96,0.17,6.78,0.85,0.85,2.44,3.29,4.01,15.22,6.93,4.29,3.74,0.85,1.89,15.81,3.18,0.54,0.64,0.08,0.01,3.47,0.02,0.05,0.04,0.09,0.01,0.01,0.02,0.01,0.01,0.01,0.0,0.16
Lakshadweep,64473,51.37,48.63,81.51,43.46,38.05,0.0,0.0,0.0,94.8,47.33,47.47,29.09,23.76,5.33,16.76,12.33,70.91,0.0,0.0,0.41,28.68,2.77,96.58,0.49,0.01,0.02,0.02,0.01,0.1,2.76,16.55,0.51,2.33,8.2,24.74,32.95,8.75,20.77,21.46,21.71,10.3,5.41,1.64,90.05,9.23,99.28,52.54,29.85,17.43,0.18,14.0,0.38,3.36,6.37,1.35,7.72,1.31,10.63,15.55,6.48,0.13,11.36,16.12,16.23,13.86,2.45,0.18,0.0,0.07,0.0,0.0,0.07,0.48,0.3,10.77,0.42,0.0,0.0,0.85,0.91,2.38,13.89,0.06,3.36,0.01,1.01,1.04,2.05,1.5,6.2,2.44,2.27,4.76,3.6,0.33,9.82,1.34,0.42,0.64,0.13,0.09,4.81,0.16,0.57,0.66,1.23,0.21,0.25,0.46,0.25,0.29,0.53,0.5,2.89
Madhya Pradesh,72626809,51.79,48.21,59.0,34.66,24.34,15.62,8.14,7.48,21.09,10.63,10.46,43.47,27.74,15.73,31.26,12.22,56.53,13.55,16.79,1.32,11.81,90.89,6.57,0.29,0.21,0.3,0.78,0.83,0.13,3.74,13.83,0.29,1.22,18.52,6.95,25.47,14.44,14.27,10.31,7.92,5.88,4.79,0.54,58.14,36.85,94.99,60.95,24.53,14.41,0.11,8.19,0.55,3.0,3.88,0.49,8.36,0.59,6.62,9.48,0.62,0.83,19.74,9.73,5.94,18.73,1.38,4.41,0.01,0.48,0.08,0.06,0.26,10.88,14.43,3.9,11.26,0.06,0.15,0.12,0.41,9.39,4.93,0.08,4.81,1.56,0.89,2.23,3.12,2.45,10.75,4.16,4.15,5.64,1.09,6.29,14.79,2.88,0.59,0.73,0.12,0.03,2.21,0.02,0.04,0.03,0.08,0.01,0.0,0.01,0.0,0.01,0.01,0.01,0.12
Maharashtra,112374333,51.83,48.17,72.57,40.27,32.3,11.81,6.02,5.79,9.35,4.73,4.62,43.99,29.03,14.96,38.94,5.04,56.01,11.19,12.0,1.09,19.71,79.83,11.54,0.96,0.2,5.81,1.25,0.16,0.25,9.2,17.8,1.23,2.82,15.59,14.28,29.87,9.09,16.23,14.12,15.87,9.45,7.53,1.08,73.36,20.31,93.67,54.98,26.94,17.72,0.36,6.46,1.25,4.13,5.29,1.33,11.39,1.54,12.04,14.65,1.93,0.91,19.42,18.11,11.26,17.2,3.34,4.48,0.03,1.86,0.19,0.14,0.35,3.1,7.2,2.59,3.29,0.07,0.08,0.22,0.46,5.84,12.59,0.09,14.4,1.2,0.87,2.15,3.02,2.98,12.55,5.36,4.21,4.58,1.05,2.77,14.67,2.97,0.63,0.76,0.1,0.02,2.81,0.01,0.05,0.06,0.12,0.03,0.02,0.05,0.03,0.04,0.06,0.04,0.28
Manipur,2855794,50.37,49.63,66.83,36.41,30.42,3.41,1.71,1.7,40.88,20.6,20.28,45.68,25.89,19.79,34.11,11.57,54.32,20.1,4.69,3.2,18.36,41.39,8.4,41.29,0.05,0.25,0.06,8.19,0.38,5.27,12.14,0.38,1.6,13.93,7.43,21.36,8.7,16.69,20.8,13.82,9.68,8.81,0.71,79.2,25.82,105.03,59.56,25.82,14.35,0.27,7.92,1.07,9.67,3.52,0.54,9.29,0.68,8.42,10.21,0.38,0.82,16.22,9.08,15.86,16.63,0.86,3.56,0.11,6.15,1.43,0.97,2.82,8.67,1.58,0.83,1.21,0.99,2.66,0.6,8.37,8.2,2.85,4.12,6.85,0.06,0.29,1.36,1.64,2.57,9.79,3.67,3.55,5.47,0.85,6.71,13.64,2.06,0.23,0.28,0.03,0.01,1.78,0.03,0.05,0.03,0.07,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.12
Meghalaya,2966889,50.28,49.72,60.16,30.8,29.36,0.58,0.31,0.28,86.15,42.8,43.35,39.96,23.72,16.24,31.06,8.9,60.04,16.67,6.69,0.69,15.91,11.53,4.4,74.59,0.1,0.33,0.02,8.71,0.32,2.15,11.05,0.27,1.38,18.66,5.66,24.32,16.42,19.91,13.61,9.64,4.56,3.18,0.61,67.93,30.35,98.28,68.77,21.33,9.7,0.19,2.42,0.97,4.57,0.97,0.28,7.09,0.46,6.11,7.8,0.43,1.09,14.34,7.19,11.41,14.87,2.83,1.15,0.02,4.22,0.27,0.06,1.57,10.96,6.22,3.35,0.99,3.44,0.48,0.47,5.43,7.84,4.37,1.04,7.12,0.48,0.66,1.35,2.01,2.26,8.07,2.92,2.89,6.12,1.95,5.93,12.93,1.87,0.22,0.27,0.04,0.01,3.07,0.02,0.05,0.03,0.09,0.01,0.01,0.02,0.0,0.0,0.01,0.01,0.14
Mizoram,1097206,50.61,49.39,77.3,39.97,37.34,0.11,0.07,0.04,94.43,47.06,47.38,44.36,26.5,17.86,37.83,6.53,55.64,20.93,3.81,0.72,18.91,2.75,1.35,87.16,0.03,8.51,0.03,0.07,0.09,10.59,16.97,0.51,3.07,11.24,13.31,24.56,11.28,20.13,22.85,14.8,6.21,4.74,0.23,80.25,17.32,97.57,62.01,24.8,13.13,0.06,0.86,1.46,6.75,2.79,0.34,12.87,1.55,11.09,14.65,1.44,0.57,19.87,15.13,18.52,13.26,6.41,1.99,0.01,6.16,0.12,0.05,1.34,5.02,1.33,0.55,0.34,3.71,1.55,1.4,7.03,9.4,6.28,0.37,11.83,0.18,1.0,1.7,2.7,2.6,10.21,3.63,3.98,6.02,1.22,4.47,14.1,1.82,0.18,0.2,0.01,0.0,4.03,0.02,0.05,0.06,0.11,0.02,0.01,0.03,0.01,0.01,0.02,0.02,0.19
Nagaland,1978502,51.79,48.21,67.85,36.59,31.26,0.0,0.0,0.0,86.48,43.77,42.71,49.24,27.67,21.57,37.46,11.77,50.76,27.18,3.18,1.15,17.72,8.75,2.47,87.93,0.1,0.34,0.13,0.16,0.12,4.03,16.5,0.35,1.81,18.22,8.8,27.01,11.46,19.8,20.52,9.63,5.22,4.5,0.4,71.54,25.01,96.55,65.2,24.01,10.71,0.07,1.59,1.57,5.05,1.28,0.27,9.82,0.67,7.67,10.73,0.64,0.37,18.51,16.67,15.47,14.92,4.32,6.09,0.02,5.59,0.23,0.06,2.02,3.54,3.34,3.86,1.34,1.14,0.4,0.54,4.15,8.56,5.92,2.08,9.53,0.91,1.13,1.9,3.03,2.47,8.87,3.17,3.23,7.29,1.03,5.73,15.71,0.66,0.08,0.09,0.01,0.0,3.76,0.02,0.08,0.04,0.12,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.19
Delhi,16787941,53.53,46.47,75.87,42.86,33.02,16.75,8.87,7.88,0.0,0.0,0.0,33.28,28.37,4.91,31.61,1.67,66.72,0.2,0.24,1.08,31.76,81.68,12.86,0.87,3.4,0.11,0.99,0.01,0.08,17.89,19.72,3.51,5.8,0.74,26.69,27.43,6.68,14.65,16.03,15.39,12.72,13.98,1.34,80.78,11.81,92.59,57.57,28.37,13.96,0.1,6.09,4.12,6.64,7.73,1.02,13.58,4.57,17.51,18.06,3.46,0.56,19.56,18.12,17.81,13.58,5.61,0.81,0.01,0.35,0.41,0.41,0.19,1.78,0.65,0.0,2.73,0.0,0.0,0.72,0.97,3.06,15.61,0.25,16.18,1.67,0.73,1.5,2.24,2.55,11.39,4.78,4.06,5.09,1.18,1.23,13.83,2.82,0.69,0.84,0.12,0.03,2.41,0.03,0.09,0.1,0.19,0.03,0.03,0.06,0.03,0.03,0.06,0.04,0.38
Odisha,41974218,50.54,49.46,63.71,35.95,27.76,17.13,8.62,8.51,22.85,11.26,11.59,41.79,28.36,13.43,25.51,16.28,58.21,9.78,16.06,1.87,14.09,93.63,2.17,2.77,0.05,0.03,0.02,1.14,0.18,2.26,9.9,0.32,1.17,25.15,5.25,30.4,13.11,19.22,15.96,9.75,4.36,4.03,1.03,67.45,32.65,100.1,55.65,26.63,17.43,0.28,14.04,0.41,2.62,3.34,0.42,8.2,0.48,6.15,9.16,0.55,1.92,18.67,4.53,5.07,20.79,1.54,1.29,0.46,0.8,0.19,0.07,0.36,18.49,17.63,3.98,14.14,0.42,0.4,0.18,1.2,9.72,5.15,0.21,3.19,4.6,0.96,2.74,3.7,3.88,13.76,5.48,4.4,4.81,0.75,8.14,17.28,2.36,0.36,0.45,0.07,0.02,2.92,0.03,0.04,0.02,0.06,0.01,0.01,0.02,0.0,0.0,0.01,0.0,0.12
Puducherry,1247953,49.08,50.92,76.71,39.86,36.85,15.73,7.65,8.08,0.0,0.0,0.0,35.66,26.68,8.98,32.03,3.63,64.34,0.97,5.48,0.63,28.57,87.3,6.05,6.29,0.02,0.04,0.11,0.01,0.17,17.03,23.58,1.45,3.28,9.85,21.24,31.09,6.98,14.24,16.08,15.93,8.59,12.93,1.97,76.71,15.83,92.54,50.3,31.06,18.55,0.09,12.44,1.35,6.41,11.25,1.24,15.14,2.55,19.75,19.52,3.15,0.38,21.55,20.15,16.52,15.67,7.52,3.25,0.0,0.19,0.07,0.05,0.07,3.99,6.55,0.43,0.61,0.0,0.0,0.07,0.07,5.18,18.68,0.0,23.0,0.33,0.9,2.65,3.55,4.39,16.79,7.96,4.44,3.31,0.49,0.28,18.13,2.34,0.34,0.4,0.05,0.01,3.27,0.16,0.59,0.64,1.23,0.38,0.23,0.61,0.16,0.27,0.43,0.37,2.8
